triple_id,doc_id,primary_failure,all_reasons
MPT-03139564035b406c20a1,MP022,schema_type,relation_type_invalid
MPT-0326be8c41f03083331c,MP020,schema_type,relation_type_invalid
MPT-03279efcf221945eeea6,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0333e342055f10cface5,MP005,evidence,evidence_invalid
MPT-03352bc2988a9a43c551,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-033967d350f6ea1e24eb,MP007,relation_support,dual_qwen_relation_not_entailed
MPT-033b8f86acb144c60ba9,MP007,evidence,evidence_invalid
MPT-0354066c126924f82ed7,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-036942ff47de1a538f06,MP019,evidence,evidence_invalid
MPT-038b42df3b1cc7a3ce91,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-038b8a47d9e5f1931a40,MP003,evidence,evidence_invalid
MPT-0399482fbbc0af1d77a0,MP019,schema_type,relation_type_invalid;evidence_invalid
MPT-039f2db3e79da571ed73,MP002,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-03aa13c3b832976eb475,MP019,evidence,evidence_invalid
MPT-03b4c860587b2e5b8661,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-03ce00adb7025a048b08,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-03e6e4f5c651fd439174,MP007,evidence,evidence_invalid
MPT-03e6fe0a8152ba05a237,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-03ef9fedb553f16a1808,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-03efba2030f3e98cbb4e,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-03f8b53be3699c7f9579,MP002,evidence,evidence_invalid
MPT-03f9e23b69bcc2be2a6a,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-03fd8054b309fb76130d,MP018,schema_type,relation_type_invalid
MPT-0401c9c4b9fb7f1d062c,MP015,relation_support,dual_qwen_relation_not_entailed
MPT-04137fe2e600fe9dff0c,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-04154cfbdb2999b54aaa,MP019,schema_type,relation_type_invalid;evidence_invalid
MPT-0438b802ddeb5d2820ae,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-044ad74e496e56409ffe,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-045da2326e3b91f98e57,MP003,schema_type,relation_type_invalid
MPT-045e8dcfe4ba64fa4a72,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-045f01b0401313d037b4,MP019,evidence,evidence_invalid
MPT-0462708ec81d418007b3,MP019,evidence,evidence_invalid
MPT-047b19d6700b8eb6195e,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0481a491c6f442b277eb,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0485c911dd5d585abf91,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-04885a43068f38d17a4a,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-04955e47f9607eba74bc,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-049f0c1c1aae48821957,MP002,evidence,evidence_invalid
MPT-04a0a6c46b7179aa91b3,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-04b7ec06f40c8738ee6b,MP019,evidence,evidence_invalid
MPT-04db6d8dd3ad00a4a512,MP002,schema_type,relation_type_invalid
MPT-04e409115df1c086f92d,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-04e5ae4c045bf8cdd8e1,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-04e73d28e8af060fd1c0,MP019,schema_type,relation_type_invalid
MPT-04e87edd7fafe34a704e,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-04fb7c458e95205747a4,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-04fca560244eec5251b1,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-04ffa7b84067812ba0aa,MP003,schema_type,relation_type_invalid
MPT-0505ab7e71e0ab3f08af,MP003,schema_type,relation_type_invalid
MPT-050ebfac8a437a6f5825,MP022,evidence,evidence_invalid;relation_not_entailed
MPT-051d99f205f0dc32e933,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-054a9cd30caceb3168be,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0562442e5dd3ed1e38a1,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-058ff8f452427a012c5c,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-05b35682b5d3a4faf69a,MP019,schema_type,relation_type_invalid;evidence_invalid
MPT-05bde0b7db490cf7649b,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-05cf4731bf2d9e3672d9,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-05d135f5f1376ce2a8f0,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-05d98e5d9786a966c311,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-05f1511788c2977d8016,MP003,evidence,evidence_invalid
MPT-05f7b9d89f97d3725975,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-05f7cdf9c5b74f016ecb,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-06104bf75abbf179876c,MP003,evidence,evidence_invalid
MPT-0610be29c9f94465b92c,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-06193a5f592b5357d631,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-061d86f8ba834c0b4dd8,MP003,evidence,evidence_invalid
MPT-06328e953e9ee3ae21a9,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-064a26b560dc8815bee3,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-065c328318d0822c3569,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-067ed67a0e63f6f32835,MP019,evidence,evidence_invalid
MPT-0687caee71cb2ed25380,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-0688ce182267fff7a9a4,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-06927b506be3bb576469,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-069644cfdca44bce9b40,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-06a2a27b45f81732a8e4,MP022,evidence,evidence_invalid;relation_not_entailed
MPT-06a51c44574e608ff16d,MP007,evidence,evidence_invalid
MPT-06b08ad5fd0a5f33f718,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-06b3bf5da7fa4caeccd5,MP005,evidence,evidence_invalid
MPT-06b630945004e470984a,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-06cc43123cb51b8a122e,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-06cca40ca6d6427592db,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-06d1ca2112046c4c0294,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-06d421925461977d8711,MP002,evidence,evidence_invalid
MPT-06d47056ffb2d6169298,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-070965c675c8a929565d,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0709da96be490ec44edb,MP019,evidence,evidence_invalid
MPT-071ef6e6fa36b4c830aa,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-0723cb867099ed96df7f,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-073910ce951803bb3add,MP019,evidence,evidence_invalid
MPT-0749faf5daa3102e47c3,MP021,schema_type,relation_type_invalid
MPT-074b76546cd7af7919e0,MP007,evidence,evidence_invalid;relation_not_entailed
MPT-075f4a29c4ba79dee12b,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-07631837d5d24a4ff98c,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0766ef9fb0a1d03954b3,MP001,relation_support,dual_qwen_relation_not_entailed
MPT-07855c5aa01f99b87b26,MP002,evidence,evidence_invalid
MPT-07859d0a380e36cbb564,MP006,evidence,evidence_invalid;relation_not_entailed
MPT-078609b5d1c12280d268,MP019,evidence,evidence_invalid
MPT-079145e4c9a0c65a76ff,MP022,evidence,evidence_invalid;relation_not_entailed
MPT-079460d27acc85056d06,MP007,evidence,evidence_invalid;relation_not_entailed
MPT-07bbc276c6104288dff6,MP018,evidence,evidence_invalid;relation_not_entailed
MPT-07bf5920848be5d5d2bb,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-07c1b715977811b54500,MP003,evidence,evidence_invalid
MPT-07c26e45fc52f9387131,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-07e91455cd1d366d1b69,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-07eeefc666b1494ba182,MP005,relation_support,dual_qwen_relation_not_entailed
MPT-07ef3559d7cc12aa509c,MP019,schema_type,relation_type_invalid;evidence_invalid
MPT-07f1a2c77cbdde094845,MP001,evidence,evidence_invalid
MPT-07f27cfc6edda3ed9cf0,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-07f28e39ef325de4834e,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-07f2f973e8e620046604,MP004,evidence,evidence_invalid
MPT-07f54484d94695d7e038,MP019,evidence,evidence_invalid
MPT-07f7ae2906b0d4039b58,MP002,evidence,evidence_invalid
MPT-080b907227a9e6002541,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-08166877507319fcfe38,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-0821f6511185bbdfc7c3,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0828709453aaacdc11a4,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-084b2d7c1a36379d6ad3,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-086be6b550d9160ac7db,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-08869327ba5fdc59f848,MP021,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-088dfdd809d87c6b5848,MP003,schema_type,relation_type_invalid
MPT-089e6547c83a62ccce8d,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-08b010db88cf2c770aeb,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-08c275ee01e0e6f9793c,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-08c77d508b5bf71d6057,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-08c8276adc38a666da4b,MP019,evidence,evidence_invalid
MPT-08ca5beb681caac09f9b,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-08cf9f34c48bb3e169ca,MP002,evidence,evidence_invalid
MPT-08d7561089c556a5b0c6,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-08f07ddfd201a40d4fd4,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-08f3bc6f297e702cd576,MP005,evidence,evidence_invalid
MPT-09044b71d7469b15ed2d,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-091043473aa8a157855e,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0914bf7e882e4b6a58e0,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-091c0723723844008384,MP002,evidence,evidence_invalid
MPT-091f48ec72a4a588e4e4,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-09263cdb2f6066305481,MP016,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-093597ee7ac1fa28a6be,MP002,evidence,evidence_invalid
MPT-093cc5dc3c4be8dd99cb,MP007,evidence,evidence_invalid;relation_not_entailed
MPT-09573c408677d8cd2950,MP002,evidence,evidence_invalid
MPT-095b40ac18ece7292e2c,MP019,evidence,evidence_invalid
MPT-097da9d17462bc18090c,MP018,evidence,evidence_invalid;relation_not_entailed
MPT-098f3c84c381860b915d,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-099afc277efe419f5532,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-09a4a19aab450d074e15,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-09b0df3d43852f0bd000,MP019,evidence,evidence_invalid
MPT-09be71daaf7dbe7c7ccb,MP002,evidence,evidence_invalid
MPT-09d48f01f8a5fd460f72,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-09d896946f2fde49c2d3,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-09f383f5c21f74a9f310,MP002,evidence,evidence_invalid
MPT-09f4f2ec30aca830a304,MP003,evidence,evidence_invalid
MPT-09f5d64be7d9994180d8,MP019,evidence,evidence_invalid
MPT-0a071c699ad3dba46030,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0a16a2ddb3907af0a666,MP005,schema_type,relation_type_invalid
MPT-0a3877b83cef68e10597,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0a43737e2966f60c9028,MP015,evidence,evidence_invalid
MPT-0a5f8eb6715d5fff54e8,MP006,evidence,evidence_invalid;relation_not_entailed
MPT-0a611759c00ce3a143b7,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0a68e3dd3dc902ca09fb,MP006,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0a6d7e3a4afa2bc5c8ba,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0a6f5a0dfd63f1a9f197,MP002,schema_type,relation_type_invalid
MPT-0a7831c41c5598a55a2a,MP002,evidence,evidence_invalid
MPT-0a7a77d1ccf0b862d12c,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-0a81466e681e626ada48,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0a842f341f898f9564d6,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0a8b137bed825b10cad9,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-0a9c17d6367b06e2427b,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0aad8e3766e6a33835a2,MP019,evidence,evidence_invalid
MPT-0ad3b32a2b3b60c18500,MP019,evidence,evidence_invalid
MPT-0af0b4370611e03f9575,MP002,evidence,evidence_invalid
MPT-0af1762ebd71b43933ab,MP019,evidence,evidence_invalid
MPT-0aff9c6144c467d44901,MP019,evidence,evidence_invalid
MPT-0b024b3f7ba6f7183561,MP004,evidence,evidence_invalid;relation_not_entailed
MPT-0b05d448bceafcfbe9e4,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0b0c10372a2224967a7e,MP007,evidence,evidence_invalid;relation_not_entailed
MPT-0b0d9781bf9402f7f239,MP003,evidence,evidence_invalid
MPT-0b1119b6154a15c9633a,MP019,evidence,evidence_invalid
MPT-0b12284440d40d6678da,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0b3c77cde11f9ddbd2cb,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0b5b8a637f6c8005ebe8,MP003,schema_type,relation_type_invalid
MPT-0b5daf0ae92dbe0a58ae,MP019,evidence,evidence_invalid
MPT-0b6f9838ff777b94e5bc,MP001,schema_type,relation_type_invalid;evidence_invalid
MPT-0b91209db976d2b0d059,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0b99faf3f9097e6c6e3f,MP003,evidence,evidence_invalid
MPT-0ba74f2aa96724fa4209,MP003,evidence,evidence_invalid
MPT-0baee9755456038068f0,MP002,evidence,evidence_invalid
MPT-0bc5c530a550b0886fd7,MP005,evidence,evidence_invalid
MPT-0bcd24831cdc42cf6e63,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-0bd191f80051d9b1d980,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0bd68df806339ac54e61,MP002,evidence,evidence_invalid;relation_not_entailed
MPT-0bdc48e162e44c006a95,MP002,evidence,evidence_invalid
MPT-0bdd93b40f684ce0d7af,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0be44364da4e7aa662c5,MP019,evidence,evidence_invalid
MPT-0bebea2c6384fe3aaa62,MP003,evidence,evidence_invalid
MPT-0bf7b48e8b26c26fbdb3,MP003,schema_type,relation_type_invalid
MPT-0bfef8ba85ca961c9799,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0c06963b00f410cd30e0,MP002,evidence,evidence_invalid
MPT-0c0d215b4a6b94eca232,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-0c174d6ccf336f642101,MP002,evidence,evidence_invalid
MPT-0c1b910b11f3a97fce13,MP019,evidence,evidence_invalid
MPT-0c1db0208128095bf032,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0c1fed33b08ee66c4c48,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0c2ca0eaaa5272f6a0b7,MP005,evidence,evidence_invalid
MPT-0c341dd80bb32a13596e,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0c4af14feec41fcea823,MP005,evidence,evidence_invalid
MPT-0c4dd6f9099fffaebdc4,MP019,schema_type,relation_type_invalid
MPT-0c58565d8d01d934d899,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0c69e135e269a71bdaf4,MP017,evidence,evidence_invalid;relation_not_entailed
MPT-0c9e97c3612a4bbb2cf9,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0ca57261a28915c90633,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0caee4a60f17688a4bfb,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0cbc8ff9e8ac6dede517,MP001,schema_type,relation_type_invalid
MPT-0cc5bcfcf1c1ef8d4875,MP015,evidence,evidence_invalid;relation_not_entailed
MPT-0cf61757a284ffa84d1f,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0cf8b143110e04be21c1,MP019,schema_type,relation_type_invalid
MPT-0d0e8149d023412a1b89,MP001,evidence,evidence_invalid
MPT-0d1715e5ce209b795bc5,MP002,evidence,evidence_invalid
MPT-0d17fb9daaa7b7762106,MP001,evidence,evidence_invalid
MPT-0d19c39f397663a5419d,MP003,schema_type,relation_type_invalid
MPT-0d21ac16ba25da54044d,MP019,evidence,evidence_invalid
MPT-0d23ab4c588142973060,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0d2f560b6bf04f31f9d2,MP021,evidence,evidence_invalid;relation_not_entailed
MPT-0d33d6ba64db3b626d7b,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-0d357a0e4f0368bda191,MP007,evidence,evidence_invalid
MPT-0d3c89145cdccee389f6,MP005,evidence,evidence_invalid;relation_not_entailed
MPT-0d43edc03bb3421d5951,MP003,evidence,evidence_invalid
MPT-0d5f7c464fc8e745be1d,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-0d67c97eb1051ae96dcf,MP002,evidence,evidence_invalid
MPT-0d6a4916abae83c1a7f4,MP005,schema_type,relation_type_invalid
MPT-0d6dcd79cb3efc19c51a,MP019,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0d80788399e32412fc34,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0d92722430aa51fb9360,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0d9a5295e72df4c59499,MP003,schema_type,relation_type_invalid
MPT-0d9ca9becab3b7ed7e16,MP003,schema_type,relation_type_invalid
MPT-0da316c319df99431fd3,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-0da5a5d37a75a58fea97,MP005,schema_type,relation_type_invalid
MPT-0db96facd18425663f6e,MP022,evidence,evidence_invalid;relation_not_entailed
MPT-0dce1ca33376bd0b47a6,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0de45b32eba257d494ba,MP002,evidence,evidence_invalid
MPT-0df09c6b7525d3535315,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0df0eed59e4f9ba80526,MP003,schema_type,relation_type_invalid
MPT-0e0eef780fc16d50c7a5,MP003,schema_type,relation_type_invalid;evidence_invalid
MPT-0e16e2e3a02cfd580cd0,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0e1db6006132f71548ca,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-0e214f3458aeb8bd4d1a,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0e30cc7ce9c78266ae0b,MP022,evidence,evidence_invalid;relation_not_entailed
MPT-0e35afb19ad5bd2933f2,MP017,evidence,evidence_invalid;relation_not_entailed
MPT-0e3d107950a1054fe9a6,MP003,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
MPT-0e3d2a1d9b2f89552928,MP003,evidence,evidence_invalid
MPT-0e3e4beb304b3ac128ce,MP004,evidence,evidence_invalid
MPT-0e4a6ac126edde6aa35d,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0e711a9ffe387b094fd2,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0e7e6225792c7eec6549,MP003,schema_type,relation_type_invalid
MPT-0e9113f4b96c1c87720a,MP017,evidence,evidence_invalid;relation_not_entailed
MPT-0e914dd86a4d9cf8154c,MP019,evidence,evidence_invalid
MPT-0ea2c236ff20fe06f582,MP017,evidence,evidence_invalid;relation_not_entailed
MPT-0ebaf7ffbb029547e49c,MP016,schema_type,relation_type_invalid
MPT-0ebb71a99d2376688144,MP020,evidence,evidence_invalid;relation_not_entailed
MPT-0ebd8be465569c2c9a7c,MP003,relation_support,dual_qwen_relation_not_entailed
MPT-0ee0a0e6d30b5e48ff27,MP015,evidence,evidence_invalid;relation_not_entailed
MPT-0ef70b5e52941f2218df,MP002,evidence,evidence_invalid
MPT-0efeb06513b4ff641b06,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0f05b212f933a8746e6c,MP007,evidence,evidence_invalid;relation_not_entailed
MPT-0f1396931bf5ce9f4b6e,MP003,evidence,evidence_invalid
MPT-0f17900eb33f5edb8e5e,MP019,evidence,evidence_invalid;relation_not_entailed
MPT-0f2e1cb09c4d7078b475,MP003,schema_type,relation_type_invalid
MPT-0f377c075466e9897425,MP018,evidence,evidence_invalid;relation_not_entailed
MPT-0f4253a15726689087c7,MP005,evidence,evidence_invalid
MPT-0f4d238b86e252c61ced,MP003,evidence,evidence_invalid;relation_not_entailed
MPT-0f4ee57a13c3cd0e43c2,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-0f670b339db8043c0f60,MP016,relation_support,dual_qwen_relation_not_entailed
MPT-0f6855a201495ea8fda9,MP022,evidence,evidence_invalid;relation_not_entailed
MPT-0f7fa099123e01b1e4b1,MP003,schema_type,relation_type_invalid
MPT-0f9e17d341f4cabe3edd,MP016,evidence,evidence_invalid;relation_not_entailed
MPT-0fa9b0fdc89a4174244d,MP001,evidence,evidence_invalid;relation_not_entailed
MPT-0fb2437ce5e7cd0712bc,MP001,schema_type,relation_type_invalid;evidence_invalid;relation_not_entailed
