cq_id,fault_id,fault_name_zh,role,role_name_zh,question_zh,semantic_path_answer_count_before_evidence_gate,answer_count,claim_count,instantiated_legal_metapath_count,evidence_assertion_count,document_count,source_family_count,structurally_answerable,traceable_structure_answerability,reason_codes,unanswerable_reason_codes,unanswerable_reason,metapath_ids,document_ids,source_family_ids
CQ-F05-CAUSE,mechanical_seal_failure,机械密封失效与泄漏,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“机械密封失效与泄漏”有关并形成可追溯因果证据？,8,8,12,1,12,5,5,True,1.0,,,,CAUSE-CAUSES,MP003;MP005;MP018;MP021;MP022,ABS;ALFA_LAVAL;DESMI;IDEX__VIKING_PUMP;PATTERSON_PUMP
CQ-F05-INS,mechanical_seal_failure,机械密封失效与泄漏,inspection,检查,针对“机械密封失效与泄漏”可采用哪些有原文依据的检查或诊断方法？,6,6,6,1,7,3,2,True,1.0,,,,INS-INSPECTED-BY,MP004;MP005;MP016,DESMI;XYLEM__JABSCO
CQ-F05-MAINT,mechanical_seal_failure,机械密封失效与泄漏,maintenance,维护,针对“机械密封失效与泄漏”可采取哪些有原文依据的维护、缓解或预防措施？,11,11,16,3,16,6,5,True,1.0,,,,MAINT-MITIGATED-BY;MAINT-PREVENTED-BY;MAINT-MAINTAINED-BY,MP003;MP005;MP007;MP015;MP016;MP022,ABS;ALFA_LAVAL;DESMI;SPX_FLOW__JOHNSON_PUMP;XYLEM__JABSCO
CQ-F06-SYM,bearing_or_lubrication_failure,轴承磨损、润滑不良或过热,symptom,症状,“轴承磨损、润滑不良或过热”有哪些可追溯的故障表现、症状或信号特征？,6,6,6,2,6,6,4,True,1.0,,,,SYM-MANIFESTS-AS;SYM-INDICATES-REVERSE,MP001;MP003;MP006;MP007;MP015;MP018,ABS;DESMI;PATTERSON_PUMP;SPX_FLOW__JOHNSON_PUMP
CQ-F06-CAUSE,bearing_or_lubrication_failure,轴承磨损、润滑不良或过热,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“轴承磨损、润滑不良或过热”有关并形成可追溯因果证据？,20,20,20,1,20,6,5,True,1.0,,,,CAUSE-CAUSES,MP001;MP005;MP006;MP018;MP019;MP020,ABB;ABS;DESMI;INDICOR__CORNELL_PUMP;PATTERSON_PUMP
CQ-F06-INS,bearing_or_lubrication_failure,轴承磨损、润滑不良或过热,inspection,检查,针对“轴承磨损、润滑不良或过热”可采用哪些有原文依据的检查或诊断方法？,4,4,4,1,4,3,3,True,1.0,,,,INS-INSPECTED-BY,MP003;MP005;MP018,ABS;DESMI;PATTERSON_PUMP
CQ-F06-MAINT,bearing_or_lubrication_failure,轴承磨损、润滑不良或过热,maintenance,维护,针对“轴承磨损、润滑不良或过热”可采取哪些有原文依据的维护、缓解或预防措施？,16,16,21,3,21,6,4,True,1.0,,,,MAINT-MITIGATED-BY;MAINT-PREVENTED-BY;MAINT-MAINTAINED-BY,MP001;MP003;MP005;MP007;MP018;MP019,ABB;ABS;DESMI;PATTERSON_PUMP
CQ-F07-SYM,pump_motor_misalignment,泵电机联轴器或轴系不对中,symptom,症状,“泵电机联轴器或轴系不对中”有哪些可追溯的故障表现、症状或信号特征？,1,1,1,1,1,1,1,True,1.0,,,,SYM-INDICATES-REVERSE,MP001,ABS
CQ-F07-CAUSE,pump_motor_misalignment,泵电机联轴器或轴系不对中,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“泵电机联轴器或轴系不对中”有关并形成可追溯因果证据？,2,2,5,1,5,2,2,True,1.0,,,,CAUSE-CAUSES,MP019;MP020,ABB;INDICOR__CORNELL_PUMP
CQ-F07-INS,pump_motor_misalignment,泵电机联轴器或轴系不对中,inspection,检查,针对“泵电机联轴器或轴系不对中”可采用哪些有原文依据的检查或诊断方法？,3,3,7,2,7,2,2,True,1.0,,,,INS-DIAGNOSED-BY;INS-INSPECTED-BY,MP001;MP018,ABS;PATTERSON_PUMP
CQ-F07-MAINT,pump_motor_misalignment,泵电机联轴器或轴系不对中,maintenance,维护,针对“泵电机联轴器或轴系不对中”可采取哪些有原文依据的维护、缓解或预防措施？,3,3,3,1,3,2,2,True,1.0,,,,MAINT-MITIGATED-BY,MP018;MP019,ABB;PATTERSON_PUMP
CQ-F08-SYM,motor_electrical_drive_failure,电机缺相、过载或电气驱动异常,symptom,症状,“电机缺相、过载或电气驱动异常”有哪些可追溯的故障表现、症状或信号特征？,0,0,0,0,0,0,0,False,0.0,no_legal_semantic_path,no_legal_semantic_path,冻结的本体类型和合法元路径下不存在目标故障—角色语义答案路径。,,,
CQ-F08-CAUSE,motor_electrical_drive_failure,电机缺相、过载或电气驱动异常,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“电机缺相、过载或电气驱动异常”有关并形成可追溯因果证据？,19,19,21,1,21,4,3,True,1.0,,,,CAUSE-CAUSES,MP005;MP006;MP019;MP020,ABB;DESMI;INDICOR__CORNELL_PUMP
CQ-F08-INS,motor_electrical_drive_failure,电机缺相、过载或电气驱动异常,inspection,检查,针对“电机缺相、过载或电气驱动异常”可采用哪些有原文依据的检查或诊断方法？,0,0,0,0,0,0,0,False,0.0,no_legal_semantic_path,no_legal_semantic_path,冻结的本体类型和合法元路径下不存在目标故障—角色语义答案路径。,,,
CQ-F08-MAINT,motor_electrical_drive_failure,电机缺相、过载或电气驱动异常,maintenance,维护,针对“电机缺相、过载或电气驱动异常”可采取哪些有原文依据的维护、缓解或预防措施？,2,2,2,2,2,2,2,True,1.0,,,,MAINT-MITIGATED-BY;MAINT-PREVENTED-BY,MP003;MP019,ABB;ABS
CQ-F09-SYM,pipe_or_valve_integrity_failure,管路或阀件泄漏、卡滞和完整性失效,symptom,症状,“管路或阀件泄漏、卡滞和完整性失效”有哪些可追溯的故障表现、症状或信号特征？,1,1,1,1,1,1,1,True,1.0,,,,SYM-MANIFESTS-AS,MP003,ABS
CQ-F09-CAUSE,pipe_or_valve_integrity_failure,管路或阀件泄漏、卡滞和完整性失效,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“管路或阀件泄漏、卡滞和完整性失效”有关并形成可追溯因果证据？,17,17,18,1,19,6,5,True,1.0,,,,CAUSE-CAUSES,MP003;MP004;MP005;MP018;MP019;MP020,ABB;ABS;DESMI;INDICOR__CORNELL_PUMP;PATTERSON_PUMP
CQ-F09-INS,pipe_or_valve_integrity_failure,管路或阀件泄漏、卡滞和完整性失效,inspection,检查,针对“管路或阀件泄漏、卡滞和完整性失效”可采用哪些有原文依据的检查或诊断方法？,7,7,8,2,8,5,4,True,1.0,,,,INS-DIAGNOSED-BY;INS-INSPECTED-BY,MP003;MP004;MP005;MP018;MP019,ABB;ABS;DESMI;PATTERSON_PUMP
CQ-F09-MAINT,pipe_or_valve_integrity_failure,管路或阀件泄漏、卡滞和完整性失效,maintenance,维护,针对“管路或阀件泄漏、卡滞和完整性失效”可采取哪些有原文依据的维护、缓解或预防措施？,7,7,7,3,8,4,4,True,1.0,,,,MAINT-MITIGATED-BY;MAINT-PREVENTED-BY;MAINT-MAINTAINED-BY,MP003;MP004;MP018;MP022,ABS;ALFA_LAVAL;DESMI;PATTERSON_PUMP
CQ-F10-SYM,dry_running_or_maintenance_induced_failure,干运转、错误操作或维护引入故障,symptom,症状,“干运转、错误操作或维护引入故障”有哪些可追溯的故障表现、症状或信号特征？,1,1,1,1,1,1,1,True,1.0,,,,SYM-MANIFESTS-AS,MP007,DESMI
CQ-F10-CAUSE,dry_running_or_maintenance_induced_failure,干运转、错误操作或维护引入故障,cause_or_mechanism,原因或机理,哪些原因、机理或运行工况与“干运转、错误操作或维护引入故障”有关并形成可追溯因果证据？,3,3,4,1,5,2,2,True,1.0,,,,CAUSE-CAUSES,MP005;MP022,ALFA_LAVAL;DESMI
CQ-F10-INS,dry_running_or_maintenance_induced_failure,干运转、错误操作或维护引入故障,inspection,检查,针对“干运转、错误操作或维护引入故障”可采用哪些有原文依据的检查或诊断方法？,1,1,1,1,1,1,1,True,1.0,,,,INS-DIAGNOSED-BY,MP001,ABS
CQ-F10-MAINT,dry_running_or_maintenance_induced_failure,干运转、错误操作或维护引入故障,maintenance,维护,针对“干运转、错误操作或维护引入故障”可采取哪些有原文依据的维护、缓解或预防措施？,2,2,2,2,2,2,2,True,1.0,,,,MAINT-MITIGATED-BY;MAINT-PREVENTED-BY,MP007;MP022,ALFA_LAVAL;DESMI
