evidence_id,claim_id,doc_id,pdf_page_number,source_family_id,schema_legal,entity_anchor,direct_relation_support,direction_consistent,non_inferred,page_grounded,provenance_complete,integrity_conjunction
MPA-96911a5a4571838a0f32,MPC-8744af2d60dbb8d6cc56,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-1532e7e26c34d006dc42,MPC-c741b264c52ef5cb5c74,MP007,12,DESMI,True,True,True,True,True,True,True,True
MPA-fbb25461ec91239c345f,MPC-913f2713b45bf1090f51,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-e3610f2cb76b4e2e134d,MPC-5b99ddee6357cd5bcd91,MP005,65,DESMI,True,True,True,True,True,True,True,True
MPA-25a535a4309cb981b8c9,MPC-6ee49c66c56469511a63,MP018,9,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-9de2fdb0fe7abebf3c5b,MPC-b606e57ef59acd774ac0,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-38264b0a1cdfa0fa557a,MPC-54781b2aa7927eece0b0,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-af5e408a1da3083d5064,MPC-481a408516f16a23b904,MP001,29,ABS,True,True,True,True,True,True,True,True
MPA-c38d19fa6ef9165f6ddd,MPC-daa6e823a74583072a1f,MP005,74,DESMI,True,True,True,True,True,True,True,True
MPA-4681ee710f33f83dc8a6,MPC-97e98bfb96e6e3017567,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-7fdda1ec8f9e8ab02b46,MPC-3d0a75cbffb665097cd5,MP015,38,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-acdd77d9f2d405c77d67,MPC-3247a5a2429ec754bf9f,MP018,5,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-2fc425af9114f0a4fec8,MPC-891f7e82bf2c5c1828cf,MP006,7,DESMI,True,True,True,True,True,True,True,True
MPA-9243819b7c568aa997ce,MPC-ed88c8bab6571be1f58f,MP003,316,ABS,True,True,True,True,True,True,True,True
MPA-5ef728ae7614ea915c8b,MPC-d38f3a7586f6fa134acb,MP016,4,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-6bde57d628c7e71387fa,MPC-94e3f4eb788503121e75,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-630121f09342d1a9206a,MPC-fb8181861fdbf9162be7,MP005,13,DESMI,True,True,True,True,True,True,True,True
MPA-a36a1aa32441a36738a0,MPC-07e9a79026e87ce9e60e,MP017,11,GORMAN_RUPP,True,True,True,True,True,True,True,True
MPA-43d1f528dd9383921e0d,MPC-296fd2ff12d6340cb3cc,MP001,28,ABS,True,True,True,True,True,True,True,True
MPA-d7df6bc52d67a6b21241,MPC-5857db1a0d2710a5899d,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-ef0bed6a3209df2f3cce,MPC-5011d601b44facb1795a,MP003,318,ABS,True,True,True,True,True,True,True,True
MPA-11c5959ccf9dc58645f7,MPC-cad1622139d5eeadf4d5,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-ad00f6444a5ae0cc1660,MPC-ec86a5108fbc6e73c7c4,MP021,5,IDEX__VIKING_PUMP,True,True,True,True,True,True,True,True
MPA-554d08e2b8403d047e49,MPC-7ce25d98eb6a5c5b9c30,MP015,37,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-2846edee430a5dae0ae6,MPC-d9ea19f3b7dcaaf66ace,MP018,13,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-68183fc221936c37fc37,MPC-cb72a160bd2cb49f089d,MP018,11,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-474ac0f3084ad4e114f4,MPC-8fed58e4a3aa86899d32,MP005,13,DESMI,True,True,True,True,True,True,True,True
MPA-eba7cd92795b8e97dde6,MPC-6640f898355e7428ffa4,MP022,14,ALFA_LAVAL,True,True,True,True,True,True,True,True
MPA-47531797590d7ac03610,MPC-4faaa34ef3bad4471ffa,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-23b6392f54e8f6b6f5ef,MPC-229ee94bf719ec25e205,MP018,11,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-e07064dfbeb424f07d1c,MPC-b94403bc4a5e046ca34d,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-e557c8fea252e1f709e5,MPC-916e46f1aeb8afee31b1,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-d0a0e12f1794446ccb98,MPC-aa99e620e4762b2efea7,MP018,17,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-4395ea435b7135cd4516,MPC-48ef4de653bc238379b3,MP005,55,DESMI,True,True,True,True,True,True,True,True
MPA-df6d7df97cac9e92975d,MPC-1e37282bc14712848e75,MP005,13,DESMI,True,True,True,True,True,True,True,True
MPA-68c549fdb407cbe96190,MPC-48ef4de653bc238379b3,MP005,58,DESMI,True,True,True,True,True,True,True,True
MPA-0a124fbf7c2df9e64ada,MPC-0d6ea2a05bb9283a8da3,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-dcc1a886d9f48fcb8c78,MPC-65955f6f25848098f673,MP016,6,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-0b8ff2bd1fcba0bf20d4,MPC-dd497145de6a831d4623,MP005,14,DESMI,True,True,True,True,True,True,True,True
MPA-f5a019c2012993182b8b,MPC-f5b891528d30152f7a97,MP018,15,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-f1eee934d117b8383a74,MPC-c6b77bb859ff08135719,MP003,523,ABS,True,True,True,True,True,True,True,True
MPA-9117381dd2021b909a25,MPC-ec923a5af46b304f01d0,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-6cf719f78599d6459f54,MPC-f22f0d48a1aad6bd4d6c,MP018,12,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-7d89655a2e787d1c50f2,MPC-e13b07ff7f4991971c87,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-3282b62bf3270ecbc3e4,MPC-4b98062f9541bff637ef,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-8f0973a80208350967c5,MPC-230eea8de87cd8856c6a,MP015,28,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-55464a53403e93c4f490,MPC-da2b3df160121fe8537e,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-3af9185741ace593185e,MPC-408f0c9b4612be83927d,MP018,2,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-b9d5682aec33a8cce9f3,MPC-76068b6a7f64bec9595b,MP005,67,DESMI,True,True,True,True,True,True,True,True
MPA-425bc8225fe3cabb79ca,MPC-d2f5b9388168d4f092d8,MP018,27,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-edf8c3b33dab9abbc213,MPC-bf2a5a4fd2900a0d0f77,MP015,39,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-c1b645b481b86c5246de,MPC-c5d78ac6267ba4882ac6,MP005,63,DESMI,True,True,True,True,True,True,True,True
MPA-042c86995996b0e5e8ae,MPC-c0fbcfcc87d92e1324ed,MP003,941,ABS,True,True,True,True,True,True,True,True
MPA-7dfe2f7f675b4e7cd08f,MPC-916f170823dac188f820,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-f52070f8701b5fee6c51,MPC-1f0952a066505ed81890,MP018,24,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-2d20a635dc35a42e69c3,MPC-c204034780972b502f85,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-8e947ac6c11836ceff20,MPC-4ac1227a17c1687903c8,MP003,376,ABS,True,True,True,True,True,True,True,True
MPA-6453b0c27578fad05083,MPC-651488c315fede7aa119,MP005,67,DESMI,True,True,True,True,True,True,True,True
MPA-69759702e0e56a9a01fb,MPC-bfea539d9223c9f0993b,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-55d068f0921bd467a851,MPC-df958350b5842e7643af,MP022,22,ALFA_LAVAL,True,True,True,True,True,True,True,True
MPA-f8b697b67e5330044b2c,MPC-d06abe95789879739c1b,MP005,13,DESMI,True,True,True,True,True,True,True,True
MPA-22a631b5db824791d351,MPC-3a82d601bfdeda3f421d,MP003,365,ABS,True,True,True,True,True,True,True,True
MPA-ea892d31456c130866e1,MPC-27c8f1cd3794c593bb0e,MP018,7,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-d81497235d4fb3ce2363,MPC-63c832186e72ecd25859,MP004,10,DESMI,True,True,True,True,True,True,True,True
MPA-9191b1dbb126796a9954,MPC-ed698cd8477690b61aee,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-f72c708d83c7524bbd6a,MPC-86eb465642715bb74b30,MP005,67,DESMI,True,True,True,True,True,True,True,True
MPA-593221053f7fa69d32fa,MPC-3685bf34778bcece5192,MP003,393,ABS,True,True,True,True,True,True,True,True
MPA-0b4527150f86ac751e6b,MPC-d30d0aff2becf5b8547b,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-2a853186ac973d440f9e,MPC-c6f9b9bfa94ad7a6a3a6,MP005,68,DESMI,True,True,True,True,True,True,True,True
MPA-9571b2fececf708a0373,MPC-c501a2401ca9ea9d9a9b,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-fcd41965552a28ee8ccf,MPC-b88746ad1a6c7afcc153,MP005,65,DESMI,True,True,True,True,True,True,True,True
MPA-1bef02fe1e7729d06e21,MPC-19e20f8e05f7693e7e82,MP005,48,DESMI,True,True,True,True,True,True,True,True
MPA-1163e34ae2e570377c21,MPC-ea6b703e9ea8a2ac9bd7,MP005,65,DESMI,True,True,True,True,True,True,True,True
MPA-826ab106282f7430c0b6,MPC-c85fffad7ff4777a1f8f,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-cd5c72f8cf87b80e1e12,MPC-399b7629e3e765182b15,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-a41bf30787c337d222c3,MPC-dabb4d60eb4643b03df3,MP016,6,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-7a8ad6e2468975edfeb0,MPC-b294a9cb92a36412ef06,MP005,66,DESMI,True,True,True,True,True,True,True,True
MPA-e6ff926837f6d592f3a1,MPC-d11b8bb7b9935c7f2845,MP007,12,DESMI,True,True,True,True,True,True,True,True
MPA-8b493c0ffd607a3a1dac,MPC-2166f94686350859e5fd,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-bebe14f58c10f26d9c80,MPC-371fb5e561d06095eb2d,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-f8105520e81e0b060c23,MPC-62b6a62f3e819454604a,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-5cb5983aefe097376abc,MPC-86eb465642715bb74b30,MP005,51,DESMI,True,True,True,True,True,True,True,True
MPA-2fc5117319274221a158,MPC-c74296f14b20f7b76a7a,MP018,27,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-d7f4f903c08a7bbc071c,MPC-1796ad687dec7b519710,MP019,16,ABB,True,True,True,True,True,True,True,True
MPA-e926bb1bf816323f19f9,MPC-7132cc82dc264910e013,MP005,54,DESMI,True,True,True,True,True,True,True,True
MPA-81477773dcc143b18ba6,MPC-a99730007023c964d7d5,MP005,66,DESMI,True,True,True,True,True,True,True,True
MPA-342c8187f749f21c3a54,MPC-649cfe566c0f6ff99196,MP018,15,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-a5760e53517eb647e7f1,MPC-aea572b64555dde13b1c,MP005,66,DESMI,True,True,True,True,True,True,True,True
MPA-876bd769f7a3c144d6af,MPC-b8b67fd745b3fea0549c,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-ad24d35a5dd2845672a5,MPC-60996dc8bc03c1173f3f,MP018,16,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-ffc39c83ec015c2c19c0,MPC-598de696766876c04ba8,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-0250c03eb98d8789aa38,MPC-0fa3bd5277e0d4f43b60,MP001,39,ABS,True,True,True,True,True,True,True,True
MPA-3c8525a788fb4768e525,MPC-c6f9b9bfa94ad7a6a3a6,MP004,13,DESMI,True,True,True,True,True,True,True,True
MPA-9aa6946a535d2ca0cf5f,MPC-646e9a9309b79d0396d7,MP016,3,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-31cfe61c3fab1eeb49c8,MPC-89cacbe57a540b4203fc,MP018,11,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-84799b4053a6938f4d8b,MPC-0c6039b285337fc20a08,MP003,524,ABS,True,True,True,True,True,True,True,True
MPA-1cad925b033159ed9a22,MPC-c5ddb326a4196afb0e86,MP005,68,DESMI,True,True,True,True,True,True,True,True
MPA-591a18698146a22f6da7,MPC-e0a5aedf957c109777dd,MP018,24,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-37fd823eb74bfda257bb,MPC-b389257238fd991e8c43,MP007,12,DESMI,True,True,True,True,True,True,True,True
MPA-35165a251aa6d1c78b01,MPC-fc82de35d64acd751a08,MP001,47,ABS,True,True,True,True,True,True,True,True
MPA-6756db8e6fc06eb12ec7,MPC-2d81d1a8a58ad41b218d,MP016,3,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-427d198aa5abe483ed78,MPC-2d6cbcfee388694d7418,MP005,55,DESMI,True,True,True,True,True,True,True,True
MPA-8ccc84d7ea7370a00e0b,MPC-bb6a23276cd351367b84,MP015,40,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-1133dea5fdf2ab73a3b9,MPC-96e01007f1cf15b3a070,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-ecd747ca6409f0993be9,MPC-2a3868509f3fae43e8a3,MP018,15,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-3738ff4bfeeab2c51945,MPC-7d0fed009b4fdad8e966,MP005,13,DESMI,True,True,True,True,True,True,True,True
MPA-be8e55b8a24d36adf8c6,MPC-22c47d7370b1eafa0ef6,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-13cb366587bc2db75718,MPC-6f1f46ba2ced5f8f0827,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-b9b7fad781ef2e3e035f,MPC-51f0474d7edc198e8795,MP003,97,ABS,True,True,True,True,True,True,True,True
MPA-deb6e914e8194f238097,MPC-3a22988af600ae7086c5,MP007,15,DESMI,True,True,True,True,True,True,True,True
MPA-c06f09d4417784779d15,MPC-ab9099dc812ec5e2ad12,MP016,6,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-be9a77914e63b936ffea,MPC-bea82731f80aa8c983c8,MP015,30,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-469d75dc2e4959a5aeb1,MPC-315933f63d7acf7c2c2c,MP018,27,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-069d553953907aab2dcc,MPC-902bec6991ae11abd9a7,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-db1fe4d0f1ebf5192cc3,MPC-0e155870b4ae98324ba5,MP015,39,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-084a022814b3b8e57aa5,MPC-d071ca3a75d5347fb543,MP005,63,DESMI,True,True,True,True,True,True,True,True
MPA-c5f79e2fc405cd84e1e9,MPC-a703ab4fda26dacdc789,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-04939a6009d6f00be59b,MPC-803c3750e9830072e8f9,MP005,46,DESMI,True,True,True,True,True,True,True,True
MPA-c81f48a141d49ef688bb,MPC-3e74e52abcdabe336f87,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-520b464cdc80017039af,MPC-8ce4da1563ebc0557604,MP018,13,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-e552867a916721cbcaee,MPC-5bc04c7b917d936af44d,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-066e9d26b73c89f2cace,MPC-8982f1ab6a4234c54867,MP016,6,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-aef02bb086352e3a0737,MPC-ebbf1dcb389861adf573,MP015,40,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-bc4c4faff98c23d0d3bc,MPC-f8dd01b4d2a40fc0a4e3,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-6fab1aea32f628e42f2f,MPC-e3748f08b5a0d7716d79,MP018,18,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-23523d6b62d0229cc554,MPC-2884408c7d3034bcc4be,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-9e5dcf6c29d458762ecf,MPC-be35d9e228d3f5350d64,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-fd0226033731df78b29b,MPC-5cb04ce530eccca55b95,MP006,9,DESMI,True,True,True,True,True,True,True,True
MPA-b3ca93add65be68da486,MPC-1d8c8cd77a0bf693721c,MP020,7,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-fb52ee4de950f9946512,MPC-d9a2bf2f6b244af9a22c,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-38945d2527590ba59978,MPC-d343a7cd2e0b6f782200,MP018,11,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-217930c2024a8285769c,MPC-55dc9ed61f5ab0742b7c,MP003,395,ABS,True,True,True,True,True,True,True,True
MPA-ce511571056a07a4e841,MPC-73374142e7feb4996699,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-1df207241a50554fb894,MPC-b98b3a11cd51a67463a8,MP001,102,ABS,True,True,True,True,True,True,True,True
MPA-2571f3a1f2c22756b7c3,MPC-709ba05977d914b05031,MP003,68,ABS,True,True,True,True,True,True,True,True
MPA-ceffd898dac84361f850,MPC-984424bfb40974aeb83f,MP003,550,ABS,True,True,True,True,True,True,True,True
MPA-e6934ee9033aa587d68d,MPC-9740cf580354a5a5f9b3,MP018,18,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-e7f4787443f0c8c194e8,MPC-c29da1c7b3e1f9f9c32d,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-5a5b3e9cd5b0a56b5a6a,MPC-292f6c4be4f262f55989,MP018,11,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-0b99bc6d6052b3c7ca3e,MPC-5398dd839fc9bfc95b7c,MP018,7,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-4fc714bb1b8480f98ffe,MPC-65cfb9fdb780d2f3b034,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-3b53b06bff760d5ffb17,MPC-7f8e7763e6698d148f51,MP018,9,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-038f63e885f8426341ae,MPC-3bcb127704bd95d9e8cc,MP018,15,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-b0e5d2768b0090507c08,MPC-198365627ce21760e6bc,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-bad8f0f2977b55bbdda7,MPC-217552f1eeaf145b698e,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-4a03301303e918287e82,MPC-a3a90271740a066471e9,MP001,66,ABS,True,True,True,True,True,True,True,True
MPA-40c9ab7fca7719b59d84,MPC-7c51fd5771285ecab368,MP018,7,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-c3545a0aa6fb0b2b9f0d,MPC-cf3b9ff3876d1b68e686,MP015,27,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-b43789f64a23b34ada9c,MPC-8493d563caf4e301c8ac,MP022,14,ALFA_LAVAL,True,True,True,True,True,True,True,True
MPA-2fd58ea57eeb2fb6b00f,MPC-8265281c56ad6db56096,MP003,68,ABS,True,True,True,True,True,True,True,True
MPA-9c0500c0aa4d2f166a0d,MPC-0346766d90b30308aee4,MP001,29,ABS,True,True,True,True,True,True,True,True
MPA-ce3ffe5b4915026f8917,MPC-f476b89b07936a0a90a1,MP003,990,ABS,True,True,True,True,True,True,True,True
MPA-733f41234bf6b77c7dd3,MPC-b52855bbdacdcc7d488b,MP015,30,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-baaaa2993d0ee5f48935,MPC-8b0ec91d72acd4e42425,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-7bdaab4344122a94d3d4,MPC-280f06785a830589afa5,MP022,22,ALFA_LAVAL,True,True,True,True,True,True,True,True
MPA-b7949e62fc22032a89ba,MPC-eedc71e58783b3f9a55b,MP003,97,ABS,True,True,True,True,True,True,True,True
MPA-05794c63480d2e95920d,MPC-ff6c674c5a3fb4a4bc6e,MP001,102,ABS,True,True,True,True,True,True,True,True
MPA-668c63bcfb0c81ade2e1,MPC-c02ea543644fb7ef7196,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-1a313bfa2168d2e40cbc,MPC-7272738677a9fae832f9,MP005,58,DESMI,True,True,True,True,True,True,True,True
MPA-db3f485bd0d5666124b1,MPC-1059e319a7e4fdf468a8,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-cbb0d9294b8302014203,MPC-a46020ee8c42cf5dd5a9,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-c8998983428129728282,MPC-a689b7f3c124631946ba,MP015,29,SPX_FLOW__JOHNSON_PUMP,True,True,True,True,True,True,True,True
MPA-99c468413d581e233735,MPC-ffdad512ca51e927299a,MP018,7,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-dff8f9175aca028b6802,MPC-a2421128c2750345ab61,MP001,102,ABS,True,True,True,True,True,True,True,True
MPA-733d6115d5e1b361c15a,MPC-cf4b601079b3da0951bb,MP005,54,DESMI,True,True,True,True,True,True,True,True
MPA-d6b99efec80a3fa09d79,MPC-d2b937f217be33c9cec9,MP020,26,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-190272da5b946fd5b63e,MPC-f1c57325af075d7ec500,MP005,18,DESMI,True,True,True,True,True,True,True,True
MPA-dd36f93f3d58e47cbe8d,MPC-0cac1fcefdc88b5f7abb,MP001,24,ABS,True,True,True,True,True,True,True,True
MPA-c188da72b4391a4f5466,MPC-586cd4c4a4b4e43230b1,MP004,10,DESMI,True,True,True,True,True,True,True,True
MPA-fa8cb7355ebac8bd0f25,MPC-5649f35511e5ef37b6f9,MP016,5,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-4ccff5b0e877c2077f53,MPC-259a095ea0b6c9a5f0fa,MP016,2,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-b4d8a7252323e84dccbd,MPC-59578f8280f13bca1eaa,MP004,11,DESMI,True,True,True,True,True,True,True,True
MPA-3cd4972d0494e24e8b8b,MPC-05b0aa45a1551d98ca7f,MP016,3,XYLEM__JABSCO,True,True,True,True,True,True,True,True
MPA-782ce7ff009b161719da,MPC-647d4aacca0b4c8c6163,MP018,12,PATTERSON_PUMP,True,True,True,True,True,True,True,True
MPA-a311007439e1b995e39e,MPC-36747723ee45d8d1a897,MP005,60,DESMI,True,True,True,True,True,True,True,True
MPA-3af53607169f97a8540e,MPC-40c95470c7614b2d02c2,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-b29b9c328a7bc65bbd73,MPC-da865b4770547fdfe306,MP019,20,ABB,True,True,True,True,True,True,True,True
MPA-d6ff8e37904e7c32fc17,MPC-88bbe6cd662d96a34309,MP001,30,ABS,True,True,True,True,True,True,True,True
MPA-002ee54139c84c34c53b,MPC-626abcd9526233628b2f,MP019,19,ABB,True,True,True,True,True,True,True,True
MPA-47b33dad1e6b2ced3ee6,MPC-560656184e2d7bce1b77,MP020,7,INDICOR__CORNELL_PUMP,True,True,True,True,True,True,True,True
MPA-8fc2ca0bdd555928844b,MPC-4cc1220e46d77f160508,MP005,54,DESMI,True,True,True,True,True,True,True,True
MPA-465552ae68e4d2a7b01c,MPC-426849c693ab23703820,MP005,65,DESMI,True,True,True,True,True,True,True,True
