source_id,candidate_object,document_title,publisher,document_type,source_url,public_download,local_file,systems_equipment,fault_types,has_symptoms,has_causes_mechanisms,has_inspection,has_maintenance,triple_extraction_suitability,notes
MP011,船舶机舱泵系,Flooding and sinking of trawler Ocean Quest,MAIB,海事事故调查报告,https://assets.publishing.service.gov.uk/media/606caccdd3bf7f400cd5c129/2021-03-OceanQuest-Report.pdf,是但未落地,,舱底泵;海底阀;机舱进水系统,泵送能力不足;海水阀操作不当;进水失控,是,是,是,是,很高,提供运行条件、处置动作和后果
MP012,船舶机舱泵系,Foundering of fishing vessel Freedom II,MAIB,海事事故调查报告,https://assets.publishing.service.gov.uk/media/69ca6e08b111d64c49bb3d23/2026-8-FreedomII-ReportAndAnnex.pdf,是但未落地,,甲板冲洗泵;海水吸入管;舱底泵;发电机,振动诱发管路断裂;泵失效;电源不可用;进水失控,是,是,是,是,很高,具有振动-断裂-泄漏-泵能力不足-沉没的完整链条
MP013,船舶机舱泵系,Flooding and sinking of fishing vessel Speedwell,MAIB,海事事故调查报告,https://www.gov.uk/maib-reports/flooding-and-sinking-of-under-12m-fishing-vessel-speedwell-in-the-firth-of-lorn-scotland-with-loss-of-1-life,是但未落地,,舱底泵;舱底报警,泵不工作;报警失效;进水;沉没,是,是,部分,部分,高,可作为功能失效与风险路径来源
MP014,船舶机舱泵系,ESPset Real-world Offshore Electric Submersible Pump Dataset,Mendeley Data,公开传感器数据集,https://data.mendeley.com/datasets/m268jsw339/1,是但未下载,,电潜泵;电机;保护器;振动传感器,多类泵和电机振动故障,是,部分,否,否,中,海洋油气而非船舶，仅作为信号案例补充，不作为 KG 证据标签来源
MP015,船舶机舱泵系,FreFlow Horizontal Centrifugal Pump Instruction Manual,SPX FLOW / Johnson Pump,泵厂商操作维护手册,https://www.spxflow.com/assets/original/johnson-pump-im-fre-gb.pdf,是,data/source_docs/marine_pump/raw/SPX_Johnson_Pump_FreFlow_Instruction_Manual.pdf,水平自吸离心泵;叶轮;密封;轴承;电机;管路,不出液;低流量;低扬程;振动噪声;轴承过热;密封频繁更换,是,是,是,是,很高,独立构建来源；跨页编号原因表须结构键校验并复核，不能直接当连续证据
MP016,船舶机舱泵系,Engine Cooling Flexible Impeller Pump Installation and Operation Manual,Xylem / Jabsco,船用泵厂商安装操作手册,https://www.xylem.com/siteassets/brand/jabsco/resources/manual/user-guide---engine-cooling-flexible-impeller-pumps.pdf,是,data/source_docs/marine_pump/raw/Xylem_Jabsco_Engine_Cooling_Flexible_Impeller_Pump_IOM.pdf,船用发动机冷却柔性叶轮泵;叶轮;密封;轴承;管路,汽蚀;干运转;叶轮磨损;密封损伤;泄漏;异常噪声振动,是,是,是,是,很高,独立船用构建来源；必须保留flexible_impeller_pump适用范围，不得无条件推广至离心泵
MP017,船舶机舱泵系,Self-Priming Centrifugal Pumps Installation and Operation Manual OM-04760,Gorman-Rupp,自吸离心泵厂商安装运行手册,https://assets.grpumps.com/manuals/OM-04760.pdf,是,data/source_docs/marine_pump/raw/Gorman_Rupp_Self_Priming_OM_04760.pdf,自吸离心泵;电机;联轴器;吸排管路;空气释放阀,进气;失去自吸;不对中;旋转方向错误;阀件与管路异常,是,是,是,是,很高,事后构建补充来源；非船舶专用，必须保留自吸离心泵适用范围
MP018,船舶机舱泵系,Non-Clog Pump Operation and Maintenance Manual,Patterson Pump Company,非堵塞离心泵厂商运行维护手册,https://pattersonpumps.com/wp-content/uploads/OM-Manual-Non-Clog-New.pdf,是,data/source_docs/marine_pump/raw/Patterson_Non_Clog_Pump_OM.pdf,非堵塞离心泵;电机;联轴器;吸排管路;阀件;轴承,不对中;低电压或转速;失去自吸;吸入管进气;阀门关闭;管路未锚固;维护引入异常,是,是,是,是,很高,事后构建补充来源；物理页27具有结构清楚的运行困难—原因列表
MP019,船舶机舱泵系,Manual for Low Voltage Motors,ABB,低压电机厂商手册,https://library.e.abb.com/public/b72746520683cd05c1257dd90035fed7/Standard_Manual_Low_Voltage_all_lang_lowres01-2010.pdf,是,data/source_docs/marine_pump/raw/ABB_Low_Voltage_Motors_Manual.pdf,泵驱动电机;低压感应电机;轴承;绕组,无法启动;缺相;过载;低电压;线路开路;转子故障,是,是,是,是,很高,事后构建补充来源；只使用英文页且多语言重复内容不能计为独立证据
MP020,船舶机舱泵系,Installation and Care of Cornell General Purpose Pumps,Cornell Pump Company,通用离心泵厂商安装维护手册,https://www.cornellpump.com/site/wp-content/uploads/2023/12/Installation-and-Care.pdf,是,data/source_docs/marine_pump/raw/Cornell_General_Purpose_Pumps_Installation_Care.pdf,通用离心泵;电机;联轴器;吸排管路;阀门;轴承,未灌泵;吸入进气;不对中;电机故障;阀门异常;过载;错误润滑,是,是,是,是,很高,事后构建补充来源；物理页26为清晰症状—原因—纠正措施表
MP021,船舶机舱泵系,Technical Service Manual TSM 1600,Viking Pump,回转容积泵技术服务手册,https://www.vikingpump.com/sites/default/files/2025-09/Technical_Service_Manual__1600_0.pdf,是,data/source_docs/marine_pump/raw/Viking_Pump_TSM_1600.pdf,回转容积泵;吸入管路;泄压阀;驱动机,吸入空气泄漏;失去自吸;干运转;管路或阀堵塞;错误冲洗维护损伤,是,是,是,是,很高,事后构建补充来源；必须保留rotary_positive_displacement_pump范围
MP022,船舶机舱泵系,LKH Prime Pump Instruction Manual,Alfa Laval,自吸离心泵厂商安装运行维护手册,https://www.alfalaval.com/globalassets/documents/products/fluid-handling/pumps/centrifugal-pumps/lkh-prime/lkh-prime-pump-instruction-manual.pdf,是,data/source_docs/marine_pump/raw/Alfa_Laval_LKH_Prime_Instruction_Manual.pdf,自吸离心泵;机械轴封;冲洗液;吸排管路;止回阀,干运转;轴封泄漏;未充液启动;管路连接异常;维护引入故障,是,是,是,是,很高,7/10覆盖审计后仅针对干运转独立来源及三类角色缺口补入；非船舶专用，必须保留卫生级自吸离心泵适用范围
PS001,船舶推进轴系,Guidance Notes on Propulsion Shafting Alignment,ABS,船级社指南,https://ww2.eagle.org/content/dam/eagle/rules-and-guides/current/design_and_analysis/128_propulsionshaftalignment/shaft-alignment-gn-sept-19.pdf,是,,推进轴;艉管轴承;中间轴承;船体,不对中;轴承过载;润滑膜不足;船体挠曲影响,是,是,是,是,高,权威且边界清楚但主要集中于对中与轴承
PS002,船舶推进轴系,In-service Monitoring of Shaft Line Alignment,Wärtsilä,厂商白皮书,https://www.wartsila.com/docs/default-source/product-files/seals-bearings/business-white-papers/in-service-monitoring-of-shaft-line-alignment.pdf,是,,推进轴系;艉管轴承;船体,不对中;振动;摩擦损失;轴承损伤,是,是,是,是,高,监测和机理充分但故障类别较少
PS003,船舶推进轴系,Shaft Align Class Notations,DNV,船级社规则说明,https://www.dnv.com/services/shaft-align-class-notations-110540/,是,,推进轴;艉轴承;螺旋桨,水动力载荷;不完整浸没;轴承接触异常,部分,是,是,是,中高,规则强但维修动作细节有限
PS004,船舶推进轴系,MAIB Piedras Report,MAIB,海事事故调查报告,https://assets.publishing.service.gov.uk/media/66702834fed5bd09e5195ac5/2024-5-Piedras-Report.pdf,是,,艉管;艉封;螺旋桨轴;海水管路,艉封泄漏;轴丢失假设;海水管路失效,是,是,是,是,高,案例丰富但部分故障仅为排除假设
ME001,船舶柴油机/主机,Wärtsilä 20 Product Guide,Wärtsilä,发动机产品指南,https://www.wartsila.com/docs/default-source/product-files/engines/ms-engine/product-guide-o-e-w20.pdf,是,,船用柴油机;燃油;冷却;润滑;启动空气,冷却异常;润滑异常;燃油异常;过热,是,是,是,部分,高,系统资料非常丰富但抽取边界较大
ME002,船舶柴油机/主机,Two Catastrophic Engine Failures on Wight Sky,MAIB,海事事故调查报告,https://www.gov.uk/maib-reports/two-catastrophic-engine-failures-one-resulting-in-a-fire-on-board-ro-ro-passenger-ferry-wight-sky,是,,主机;润滑过滤;维护和监测系统,轴承失效;油路旁通异常;灾难性发动机失效;火灾,是,是,是,是,很高,真实故障链完整但涉及管理和设计多层因素
ME003,船舶柴油机/主机,Ship Diesel Engine Performance Modelling Dataset,Zenodo,公开数据集,https://zenodo.org/records/2536856,是,,船用柴油机;性能参数,多种故障工况下性能退化,是,是,否,否,中,1.9GB 可下载数据，适合案例验证而非图谱标签
ME004,船舶柴油机/主机,MAN Marine Technical Papers and Service Experience,MAN Energy Solutions,厂商技术论文集合,https://www.man-es.com/marine/products/planning-tools-and-downloads/technical-papers,是,,二冲程主机;燃油系统;辅助系统,运行退化;振动;燃烧异常;辅助系统异常,部分,是,部分,是,中高,资料多但版本和机型异质性强
AG001,船舶辅机/发电机组,Wärtsilä Marine Generating Sets,Wärtsilä,厂商技术资料,https://www.wartsila.com/marine/products/engines-and-generating-sets/generating-sets/wartsila-gensets,是,,辅机;发电机;柴油发电机组,发动机故障;发电机异常;过载;温升,部分,部分,部分,部分,中,技术参数丰富但故障排查不足
AG002,船舶辅机/发电机组,Generators for Marine,ABB,厂商技术资料,https://www.abb.com/global/en/areas/motion/motors-generators/generators/generators-for-marine,是,,船用发电机;轴承;绕组,振动;绕组故障;轴承故障;温升,是,是,是,是,中高,海事属性明确但产品页证据粒度有限
AG003,船舶辅机/发电机组,Finnmaster Auxiliary Engine Room Fire,MAIB,海事事故调查报告,https://www.gov.uk/maib-reports/auxiliary-engine-room-fire-on-board-the-ro-ro-cargo-ship-finnmaster,是,,辅机;应急发电机;断路器;燃油软管,机械失效;燃油泄漏;火灾;断路器失效;全船失电,是,是,是,是,很高,真实系统级故障链但机电和消防范围较大
AG004,船舶辅机/发电机组,ABB Rotating Machine Condition Monitoring,ABB,厂商技术资料,https://new.abb.com/docs/librariesprovider8/abb-magazines/generations_2013v2-.pdf,是,,电机;发电机;轴承;绕组;基础,偏心;不平衡;松动;不对中;轴承缺陷;绕组缺陷,是,是,是,是,高,提供检测对象、传感量和维护建议
CL001,船舶冷却/润滑系统,Wärtsilä 20 Product Guide Cooling and Lubricating Systems,Wärtsilä,发动机产品指南,https://www.wartsila.com/docs/default-source/product-files/engines/ms-engine/product-guide-o-e-w20.pdf,是,,冷却水;润滑油;泵;过滤器;冷却器,腐蚀;水质异常;油压低;温度高;过滤堵塞,是,是,是,是,高,章节边界清楚但故障多表现为参数异常
CL002,船舶冷却/润滑系统,Wärtsilä Engine Auxiliary Systems,Wärtsilä,厂商技术资料,https://www.wartsila.com/marine/products/engines-and-generating-sets/generating-sets/wartsila-engines-auxiliary-systems,是,,冷却泵;润滑泵;过滤器;冷却器;恒温阀,泵失效;过滤器堵塞;冷却不足;油品污染,部分,部分,是,是,中,适合建立设备层级但故障细节不足
CL003,船舶冷却/润滑系统,MAN Marine Service Letters,MAN Energy Solutions,厂商服务信函集合,https://www.man-es.com/services/industries/marine/service-letters/6,是,,冷却水;润滑油;艉管润滑;发动机,冷却水维护异常;润滑油消耗;油品更换风险,部分,是,是,是,高,服务经验强但需逐封筛选和版本治理
